Fasta	Genome	contig	Start	Stop	protID	name	url
GCF-001026925-protein2609.fasta	GCF_001026925	NZ_CP010867.1	642437	642776	2609	Head-tail adaptor protein	http://purl.uniprot.org/uniprot/A0A0E1ELT5
GCF-001026925-protein2865.fasta	GCF_001026925	NZ_CP010867.1	926181	927525	2865	UDP-N-acetylmuramyl peptide synthase	http://purl.uniprot.org/uniprot/S9AZZ6
GCF-000689235-protein697.fasta	GCF_000689235	NZ_HG939456.1	735190	735853	697	ABC transporter permease	http://purl.uniprot.org/uniprot/S9BBH4
GCF-000196055-protein411.fasta	GCF_000196055	NC_004368.1	428498	429083	411	Signal peptide protein	http://purl.uniprot.org/uniprot/S9LWP6
GCF-000196055-protein2079.fasta	GCF_000196055	NC_004368.1	2149184	2149568	2079	hypothetical protein	http://purl.uniprot.org/uniparc/UPI00027AFD26
GCF-000012705-protein3981.fasta	GCF_000012705	NC_007432.1	1943446	1943866	3981	Uncharacterized protein	http://purl.uniprot.org/uniprot/F8XY75
GCF-001026925-protein2702.fasta	GCF_001026925	NZ_CP010867.1	745506	746202	2702	Glutamine ABC transporter permease	http://purl.uniprot.org/uniprot/S9M100
GCF-000689235-protein223.fasta	GCF_000689235	NZ_HG939456.1	242309	246065	223	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BA0055
GCF-001026925-protein3170.fasta	GCF_001026925	NZ_CP010867.1	1238002	1238686	3170	Putative tRNA-m1A22 methylase	http://purl.uniprot.org/uniprot/A0A0E1EHS2
GCF-001026925-protein3624.fasta	GCF_001026925	NZ_CP010867.1	1705847	1706828	3624	Geranylgeranyl pyrophosphate synthase	http://purl.uniprot.org/uniprot/S9C8E2
GCF-000689235-protein306.fasta	GCF_000689235	NZ_HG939456.1	335344	335701	306	S1 RNA binding domain protein	http://purl.uniprot.org/uniprot/E7S6A6
GCF-000689235-protein1236.fasta	GCF_000689235	NZ_HG939456.1	1306522	1308112	1236	accessory Sec system protein Asp2	http://purl.uniprot.org/uniparc/UPI00005C86BD
GCF-001026925-protein2712.fasta	GCF_001026925	NZ_CP010867.1	756654	757479	2712	Haloacid dehalogenase	http://purl.uniprot.org/uniprot/S9MBW4
GCF-000427035-protein2466.fasta	GCF_000427035	NC_021485.1	354391	355036	2466	YigZ family protein	http://purl.uniprot.org/uniparc/UPI0002B98B7C
GCF-000689235-protein1342.fasta	GCF_000689235	NZ_HG939456.1	1426147	1426969	1342	Formamidopyrimidine-DNA glycosylase	http://purl.uniprot.org/uniprot/P64152
GCF-001026925-protein3729.fasta	GCF_001026925	NZ_CP010867.1	1811827	1812469	3729	Deoxyguanosine kinase	http://purl.uniprot.org/uniprot/A0A0H1Y1B2
GCF-001026925-protein2590.fasta	GCF_001026925	NZ_CP010867.1	627784	628066	2590	VRR-NUC domain-containing protein	http://purl.uniprot.org/uniparc/UPI0002BA093D
GCF-001026925-protein3580.fasta	GCF_001026925	NZ_CP010867.1	1659485	1660433	3580	Mannose-6-phosphate isomerase	http://purl.uniprot.org/uniprot/S8G0N2
GCF-000689235-protein1912.fasta	GCF_000689235	NZ_HG939456.1	1988541	1988790	1912	Putative phage protein	http://purl.uniprot.org/uniprot/T1ZI32
GCF-000689235-protein812.fasta	GCF_000689235	NZ_HG939456.1	863141	863879	812	Acyl-ACP thioesterase	http://purl.uniprot.org/uniprot/E7S4M6
GCF-001026925-protein2793.fasta	GCF_001026925	NZ_CP010867.1	842464	845083	2793	Alanine--tRNA ligase	http://purl.uniprot.org/uniprot/A0A0E1ELA4
GCF-001026925-protein2406.fasta	GCF_001026925	NZ_CP010867.1	440767	441676	2406	Glycosyltransferase, group 2 family protein	http://purl.uniprot.org/uniprot/E7S5U9
GCF-000689235-protein547.fasta	GCF_000689235	NZ_HG939456.1	578298	578940	547	Phosphoserine phosphatase SerB	http://purl.uniprot.org/uniprot/F8XZ40
GCF-001026925-protein2600.fasta	GCF_001026925	NZ_CP010867.1	636274	637867	2600	Phage terminase large subunit	http://purl.uniprot.org/uniprot/A0A0H1JIR9
GCF-000689235-protein1485.fasta	GCF_000689235	NZ_HG939456.1	1562510	1563464	1485	2-dehydropantoate 2-reductase	http://purl.uniprot.org/uniprot/A0A1J7VB90
GCF-000689235-protein1252.fasta	GCF_000689235	NZ_HG939456.1	1324960	1325452	1252	Pore forming protein	http://purl.uniprot.org/uniprot/S9KXQ6
GCF-000007265-protein532.fasta	GCF_000007265	NC_004116.1	560027	560231	532	Conserved domain protein	http://purl.uniprot.org/uniprot/Q8E119
GCF-001026925-protein2479.fasta	GCF_001026925	NZ_CP010867.1	508154	508457	2479	Ribose 5-phosphate isomerase	http://purl.uniprot.org/uniprot/S9KWU5
GCF-001026925-protein2616.fasta	GCF_001026925	NZ_CP010867.1	648610	651526	2616	carbamoylsarcosine amidase	http://purl.uniprot.org/uniparc/UPI00005C6910
GCF-000689235-protein1861.fasta	GCF_000689235	NZ_HG939456.1	1939879	1941520	1861	Uncharacterized protein	http://purl.uniprot.org/uniprot/S9CKR1
GCF-001026925-protein3094.fasta	GCF_001026925	NZ_CP010867.1	1162880	1163540	3094	DNA alkylation repair enzyme	http://purl.uniprot.org/uniprot/A0A0G9J7N0
GCF-001026925-protein2083.fasta	GCF_001026925	NZ_CP010867.1	100591	101071	2083	Competence-specific sigma factor ComX	http://purl.uniprot.org/uniprot/E7S731
GCF-000427035-protein3763.fasta	GCF_000427035	NC_021485.1	1708311	1710231	3763	PTS beta-glucoside transporter subunit IIBCA	http://purl.uniprot.org/uniparc/UPI000332E391
GCF-001026925-protein3504.fasta	GCF_001026925	NZ_CP010867.1	1581230	1581509	3504	Acylphosphatase	http://purl.uniprot.org/uniprot/A0A0E1EIX7
GCF-001026925-protein3913.fasta	GCF_001026925	NZ_CP010867.1	1994902	1996933	3913	DNA mismatch repair protein MutL	http://purl.uniprot.org/uniprot/A0A0G2Z9W2
GCF-001026925-protein2158.fasta	GCF_001026925	NZ_CP010867.1	189725	189971	2158		
GCF-000012705-protein2550.fasta	GCF_000012705	NC_007432.1	475339	476230	2550	sugar ABC transporter permease	http://purl.uniprot.org/uniparc/UPI00005BB228
GCF-001026925-protein2678.fasta	GCF_001026925	NZ_CP010867.1	716976	717795	2678	Phosphate ABC transporter ATPase	http://purl.uniprot.org/uniprot/S9KWQ2
GCF-000689235-protein1321.fasta	GCF_000689235	NZ_HG939456.1	1404560	1404911	1321	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1F0CCC0
GCF-001026925-protein2924.fasta	GCF_001026925	NZ_CP010867.1	990491	991154	2924	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BB1CA3
GCF-001026925-protein3760.fasta	GCF_001026925	NZ_CP010867.1	1846938	1847523	3760	N-acetylmuramoyl-L-alanine amidase	http://purl.uniprot.org/uniprot/A0A0E1EJJ8
GCF-000012705-protein2679.fasta	GCF_000012705	NC_007432.1	583364	583592	2679	phage holin	http://purl.uniprot.org/uniparc/UPI00005BB26D
GCF-001026925-protein2686.fasta	GCF_001026925	NZ_CP010867.1	726453	727071	2686	bifunctional 2-keto-4-hydroxyglutarate aldolase/2-keto-3-deoxy-6-phosphogluconate aldolase	http://purl.uniprot.org/uniparc/UPI00005C5C6B
GCF-000012705-protein2410.fasta	GCF_000012705	NC_007432.1	330168	330759	2410	Transcriptional regulator	http://purl.uniprot.org/uniprot/A0A076YSP7
GCF-000196055-protein1131.fasta	GCF_000196055	NC_004368.1	1176315	1177098	1131	Uncharacterized protein	http://purl.uniprot.org/uniprot/S4W638
GCF-001026925-protein2773.fasta	GCF_001026925	NZ_CP010867.1	820876	821728	2773	PRD domain protein	http://purl.uniprot.org/uniprot/E7S4X9
GCF-000427035-protein2952.fasta	GCF_000427035	NC_021485.1	866564	867110	2952	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0002BB5927
GCF-001026925-protein2528.fasta	GCF_001026925	NZ_CP010867.1	559838	560774	2528	Oligoribonuclease	http://purl.uniprot.org/uniprot/S9B3N2
GCF-000689235-protein1313.fasta	GCF_000689235	NZ_HG939456.1	1391263	1392097	1313	Transposase IS861	http://purl.uniprot.org/uniprot/S8G6Y3
GCF-000427035-protein3796.fasta	GCF_000427035	NC_021485.1	1743657	1744587	3796	Beta-lactamase	http://purl.uniprot.org/uniprot/A0A0E1EJ83
GCF-000689235-protein1200.fasta	GCF_000689235	NZ_HG939456.1	1269447	1270359	1200	Tagatose-6-phosphate kinase	http://purl.uniprot.org/uniprot/Q8E4I4
GCF-000689235-protein102.fasta	GCF_000689235	NZ_HG939456.1	113190	113760	102	UPF0340 protein HMPREF9171_2065	http://purl.uniprot.org/uniprot/E7S719
GCF-000689235-protein933.fasta	GCF_000689235	NZ_HG939456.1	994482	994890	933		
GCF-000689235-protein535.fasta	GCF_000689235	NZ_HG939456.1	563764	564022	535	Transposase	http://purl.uniprot.org/uniprot/S9KM24
GCF-001026925-protein3988.fasta	GCF_001026925	NZ_CP010867.1	2063773	2064616	3988	Energy-coupling factor transporter ATP-binding protein EcfA2	http://purl.uniprot.org/uniprot/Q3JYF5
GCF-000689235-protein935.fasta	GCF_000689235	NZ_HG939456.1	995164	995641	935	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1J7VTE1
GCF-001026925-protein3781.fasta	GCF_001026925	NZ_CP010867.1	1870240	1871689	3781	PTS system, galactose-specific IIC component	http://purl.uniprot.org/uniprot/A0A0E1EQA7
GCF-001026925-protein2707.fasta	GCF_001026925	NZ_CP010867.1	750177	750987	2707	Metallo-hydrolase	http://purl.uniprot.org/uniprot/S9KS32
GCF-001026925-protein3548.fasta	GCF_001026925	NZ_CP010867.1	1626006	1627116	3548	UPF0348 protein SAK_1668	http://purl.uniprot.org/uniprot/Q3JZN3
GCF-001026925-protein3467.fasta	GCF_001026925	NZ_CP010867.1	1551291	1552473	3467	3-phosphoglycerate dehydrogenase	http://purl.uniprot.org/uniprot/S9AYS7
GCF-001026925-protein2323.fasta	GCF_001026925	NZ_CP010867.1	351378	352047	2323	Transaldolase	http://purl.uniprot.org/uniprot/S9B761
GCF-001026925-protein3156.fasta	GCF_001026925	NZ_CP010867.1	1220822	1221827	3156	ABC transporter substrate-binding protein	http://purl.uniprot.org/uniprot/A0A0H1YHQ0
GCF-001026925-protein3257.fasta	GCF_001026925	NZ_CP010867.1	1332245	1333454	3257	CCA-adding enzyme	http://purl.uniprot.org/uniprot/Q8DYY1
GCF-001026925-protein2297.fasta	GCF_001026925	NZ_CP010867.1	324378	324861	2297	S-ribosylhomocysteine lyase	http://purl.uniprot.org/uniprot/P65332
GCF-000689235-protein1450.fasta	GCF_000689235	NZ_HG939456.1	1523579	1524245	1450	Amino acid ABC transporter permease	http://purl.uniprot.org/uniprot/S9C8C0
GCF-001026925-protein3652.fasta	GCF_001026925	NZ_CP010867.1	1735378	1736104	3652	Transcriptional regulator, MerR family	http://purl.uniprot.org/uniprot/A0A0E1EJK3
GCF-000012705-protein2147.fasta	GCF_000012705	NC_007432.1	59334	59838	2147	N5-carboxyaminoimidazole ribonucleotide mutase	http://purl.uniprot.org/uniprot/Q8E7V2
GCF-000689235-protein171.fasta	GCF_000689235	NZ_HG939456.1	193545	194739	171	Acetate kinase	http://purl.uniprot.org/uniprot/Q3K3K1
GCF-000689235-protein283.fasta	GCF_000689235	NZ_HG939456.1	311323	311923	283	Holliday junction resolvase RecU	http://purl.uniprot.org/uniprot/F8XYF2
GCF-001026925-protein3128.fasta	GCF_001026925	NZ_CP010867.1	1195213	1196614	3128	CpsL	http://purl.uniprot.org/uniprot/Q1G5R8
GCF-001026925-protein2251.fasta	GCF_001026925	NZ_CP010867.1	274169	275117	2251	hypothetical protein	http://purl.uniprot.org/uniparc/UPI0008A61E10
GCF-000689235-protein1785.fasta	GCF_000689235	NZ_HG939456.1	1863435	1863735	1785	XRE family transcriptional regulator	http://purl.uniprot.org/uniprot/S9B467
GCF-001026925-protein3692.fasta	GCF_001026925	NZ_CP010867.1	1770691	1772227	3692	D-alanine--D-alanyl carrier protein ligase	http://purl.uniprot.org/uniprot/P59591
GCF-000689235-protein327.fasta	GCF_000689235	NZ_HG939456.1	359717	359942	327	Acyl carrier protein	http://purl.uniprot.org/uniprot/F8XYJ6
GCF-000007265-protein1938.fasta	GCF_000007265	NC_004116.1	1983651	1984275	1938	IS1381 transposase protein A	http://purl.uniprot.org/uniparc/UPI00003FBCED
GCF-001026925-protein2762.fasta	GCF_001026925	NZ_CP010867.1	810042	810309	2762	UPF0213 protein SAG0778	http://purl.uniprot.org/uniprot/Q8E0F5
GCF-001026925-protein3485.fasta	GCF_001026925	NZ_CP010867.1	1566622	1567171	3485	Putative tRNA (cytidine(34)-2'-O)-methyltransferase	http://purl.uniprot.org/uniprot/E7S2Z6
GCF-000689235-protein843.fasta	GCF_000689235	NZ_HG939456.1	899141	899375	843	30S ribosomal protein S20	http://purl.uniprot.org/uniprot/F8Y068
GCF-000196055-protein1541.fasta	GCF_000196055	NC_004368.1	1604974	1607017	1541	Amidase	http://purl.uniprot.org/uniprot/A0A1J7VBD3
GCF-000689235-protein1592.fasta	GCF_000689235	NZ_HG939456.1	1667733	1668003	1592	30S ribosomal protein S14	http://purl.uniprot.org/uniprot/E7S2D7
GCF-000689235-protein538.fasta	GCF_000689235	NZ_HG939456.1	567375	568752	538	Peptide ABC transporter permease	http://purl.uniprot.org/uniprot/S9BE43
GCF-001026925-protein3787.fasta	GCF_001026925	NZ_CP010867.1	1877562	1878006	3787	D-aminoacyl-tRNA deacylase	http://purl.uniprot.org/uniprot/S8FUT4
GCF-000689235-protein1311.fasta	GCF_000689235	NZ_HG939456.1	1389196	1390669	1311	Peptide ABC transporter permease	http://purl.uniprot.org/uniprot/S9BE13
GCF-000689235-protein1128.fasta	GCF_000689235	NZ_HG939456.1	1194718	1195216	1128	Phage tail protein	http://purl.uniprot.org/uniprot/A0A1J7VWE7
GCF-001026925-protein2808.fasta	GCF_001026925	NZ_CP010867.1	858421	859504	2808	RNA helicase	http://purl.uniprot.org/uniprot/A0A1F0CFQ8
GCF-000689235-protein886.fasta	GCF_000689235	NZ_HG939456.1	943724	944477	886	Putative bacteriocin export ABC transporter, lactococcin 972 group	http://purl.uniprot.org/uniprot/E7S4H3
GCF-001026925-protein3759.fasta	GCF_001026925	NZ_CP010867.1	1842409	1846816	3759	DNA polymerase III PolC-type	http://purl.uniprot.org/uniprot/A0A0E1EJU1
GCF-000689235-protein637.fasta	GCF_000689235	NZ_HG939456.1	671576	672227	637	Glutamine ABC transporter permease	http://purl.uniprot.org/uniprot/S9CK88
GCF-000689235-protein1443.fasta	GCF_000689235	NZ_HG939456.1	1518863	1519406	1443	Membrane protein	http://purl.uniprot.org/uniprot/S9KX90
GCF-001026925-protein3857.fasta	GCF_001026925	NZ_CP010867.1	1932177	1932792	3857	Phosphoesterase	http://purl.uniprot.org/uniprot/A0A0E1EK56
GCF-000427035-protein3371.fasta	GCF_000427035	NC_021485.1	1309316	1309781	3371	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A116PCV8
GCF-001026925-protein3503.fasta	GCF_001026925	NZ_CP010867.1	1580455	1581199	3503	rRNA methylase	http://purl.uniprot.org/uniprot/A0A0H1DB72
GCF-001026925-protein3052.fasta	GCF_001026925	NZ_CP010867.1	1120820	1122161	3052	Multidrug MFS transporter	http://purl.uniprot.org/uniprot/A0A075MZM1
GCF-000196055-protein372.fasta	GCF_000196055	NC_004368.1	387384	388878	372	RepR	http://purl.uniprot.org/uniprot/S8FSM5
GCF-001026925-protein2619.fasta	GCF_001026925	NZ_CP010867.1	653812	655219	2619	Phage-associated cell wall hydrolase	http://purl.uniprot.org/uniprot/A0A0H1J9Y0
GCF-000007265-protein2042.fasta	GCF_000007265	NC_004116.1	2091332	2091854	2042	Cytoplasmic protein	http://purl.uniprot.org/uniprot/A0A0H1MYV2
GCF-000689235-protein415.fasta	GCF_000689235	NZ_HG939456.1	446828	447692	415	Cation diffusion facilitator family transporter	http://purl.uniprot.org/uniprot/E7S5T5
GCF-001026925-protein2128.fasta	GCF_001026925	NZ_CP010867.1	145815	147699	2128	Membrane protein	http://purl.uniprot.org/uniprot/A0A0E1EES3
GCF-000012705-protein2633.fasta	GCF_000012705	NC_007432.1	552165	552501	2633	Uncharacterized protein	http://purl.uniprot.org/uniprot/S8HDH9
GCF-001026925-protein3264.fasta	GCF_001026925	NZ_CP010867.1	1339074	1339884	3264	DeoR family transcriptional regulator	http://purl.uniprot.org/uniprot/S9CT16
GCF-000012705-protein3443.fasta	GCF_000012705	NC_007432.1	1397170	1399315	3443	Alkaline phosphatase	http://purl.uniprot.org/uniprot/A0A076Z7V2
GCF-001026925-protein3919.fasta	GCF_001026925	NZ_CP010867.1	2002767	2003640	3919	Membrane protein	http://purl.uniprot.org/uniprot/S9C915
GCF-000689235-protein1780.fasta	GCF_000689235	NZ_HG939456.1	1859894	1860368	1780	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A0E1EK33
GCF-000689235-protein590.fasta	GCF_000689235	NZ_HG939456.1	618483	620679	590	CylI protein	http://purl.uniprot.org/uniprot/A0A1F0CCH0
GCF-001026925-protein3554.fasta	GCF_001026925	NZ_CP010867.1	1629712	1630345	3554	Probable nicotinate-nucleotide adenylyltransferase	http://purl.uniprot.org/uniprot/F8Y2I8
GCF-000689235-protein1272.fasta	GCF_000689235	NZ_HG939456.1	1344847	1346356	1272	Surface protein Spb1	http://purl.uniprot.org/uniprot/S9KT71
GCF-000196055-protein893.fasta	GCF_000196055	NC_004368.1	925527	926937	893	tRNA modification GTPase MnmE	http://purl.uniprot.org/uniprot/A0A1R4L101
GCF-000689235-protein196.fasta	GCF_000689235	NZ_HG939456.1	217777	218062	196	PTS system, Lactose/Cellobiose specific IIB subunit	http://purl.uniprot.org/uniprot/E7S6S6
GCF-001026925-protein2184.fasta	GCF_001026925	NZ_CP010867.1	209957	211988	2184	PTS system, IIABC components	http://purl.uniprot.org/uniprot/F8XY35
GCF-001026925-protein2332.fasta	GCF_001026925	NZ_CP010867.1	365442	366234	2332	Enoyl-CoA hydratase	http://purl.uniprot.org/uniprot/S8H7Q5
GCF-001026925-protein2795.fasta	GCF_001026925	NZ_CP010867.1	845968	846787	2795	UDP-galactose:(Galactosyl) LPS alpha1,2-galactosyltransferase	http://purl.uniprot.org/uniprot/A0A0H1HSV5
GCF-000689235-protein1059.fasta	GCF_000689235	NZ_HG939456.1	1120593	1121223	1059	NeuD protein	http://purl.uniprot.org/uniprot/S8H928
GCF-001026925-protein3653.fasta	GCF_001026925	NZ_CP010867.1	1736230	1736818	3653	DNA polymerase III subunit epsilon	http://purl.uniprot.org/uniprot/A0A0E1EJA6
GCF-000689235-protein287.fasta	GCF_000689235	NZ_HG939456.1	314605	316093	287	Mid-cell-anchored protein Z	http://purl.uniprot.org/uniprot/A0A1J7WRL7
GCF-000689235-protein576.fasta	GCF_000689235	NZ_HG939456.1	606540	607692	576	Beta-lactamase, putative	http://purl.uniprot.org/uniprot/F8XZ98
GCF-001026925-protein3312.fasta	GCF_001026925	NZ_CP010867.1	1385564	1386218	3312	Uncharacterized protein	http://purl.uniprot.org/uniprot/A0A1J7UFT4
GCF-000427035-protein3818.fasta	GCF_000427035	NC_021485.1	1770796	1771900	3818	PTS fructose IIBC component	http://purl.uniprot.org/uniparc/UPI000332E878
GCF-001026925-protein2351.fasta	GCF_001026925	NZ_CP010867.1	382122	383133	2351	PTS system, mannose-specific IIAB components	http://purl.uniprot.org/uniprot/A0A076Z504
GCF-000689235-protein1647.fasta	GCF_000689235	NZ_HG939456.1	1723365	1724013	1647	Probable transaldolase	http://purl.uniprot.org/uniprot/S9BA38
GCF-000689235-protein840.fasta	GCF_000689235	NZ_HG939456.1	896930	897572	840	Polar amino acid ABC transporter permease	http://purl.uniprot.org/uniprot/F8Y064
GCF-000012705-protein2666.fasta	GCF_000012705	NC_007432.1	570740	571079	2666	Uncharacterized protein	http://purl.uniprot.org/uniprot/Q8E0X7
GCF-000689235-protein910.fasta	GCF_000689235	NZ_HG939456.1	968618	969503	910	tRNA pseudouridine synthase B	http://purl.uniprot.org/uniprot/P65856
GCF-000689235-protein913.fasta	GCF_000689235	NZ_HG939456.1	971343	971934	913	Type I restriction endonuclease subunit S	http://purl.uniprot.org/uniprot/S8G747
